Charge: 0.606060606060606
Capa. file,Tx analy.,Tx simu.
1,0.377358490566038,1
2,0.186133085155886,0.132876992133594
3,0.101372327888795,0.0491563167884739
4,0.0578816544457995,0.0188066378713377
5,0.0338909047328468,0.00717392279065597
6,0.0201265442063919,0.00267527537401545
7,0.0120509097207096,0.00102128761950311
8,0.00725062610912116,0.000368659921186487
9,0.00437509329904079,0.000119565379844266
10,0.00264455945738175,4.98189082684442e-05
11,0.00160019856795465,2.49094541342221e-05
12,0.000968877679563206,4.98189082684442e-06
13,0.000586853993834798,0
14,0.000355542631649355,0
15,0.000215433961025397,0
16,0.000130548991720608,0
17,7.91143414685446e-05,0
18,4.79457868298142e-05,0
19,2.90572082782425e-05,0
20,1.76101191377836e-05,0
